step,settle_node,dist,edges_scanned,to,weight,candidate_dist,improved
0,13585289797,0.000,1,13585289796,39.997,39.997,True
1,13585289796,39.997,3,13585289797,39.997,79.993,False
1,13585289796,39.997,3,5689629212,137.804,177.800,True
1,13585289796,39.997,3,4021954325,200.087,240.084,True
2,5689629212,177.800,3,4600895521,103.887,281.687,True
2,5689629212,177.800,3,13585289796,137.804,315.604,False
2,5689629212,177.800,3,4600895522,71.509,249.310,True
3,4021954325,240.084,3,13585289796,200.087,440.171,False
3,4021954325,240.084,3,4021954322,84.246,324.329,True
3,4021954325,240.084,3,9580328254,53.195,293.279,True
4,4600895522,249.310,3,4600895523,22.840,272.149,True
4,4600895522,249.310,3,8333630196,95.972,345.281,True
4,4600895522,249.310,3,5689629212,71.509,320.819,False
5,4600895523,272.149,3,4600895522,22.840,294.989,False
5,4600895523,272.149,3,5689629187,75.761,347.911,True
5,4600895523,272.149,3,4600895532,67.192,339.341,True
6,4600895521,281.687,3,4600895536,123.091,404.779,True
6,4600895521,281.687,3,4600895513,98.032,379.720,True
6,4600895521,281.687,3,5689629212,103.887,385.574,False
7,9580328254,293.279,1,4021954325,53.195,346.473,False
8,4021954322,324.329,2,7144483009,34.013,358.342,True
8,4021954322,324.329,2,4021954325,84.246,408.575,False
9,4600895532,339.341,4,5689629187,33.649,372.991,False
9,4600895532,339.341,4,13585291174,65.804,405.145,True
9,4600895532,339.341,4,4600895523,67.192,406.534,False
9,4600895532,339.341,4,4600895513,157.491,496.833,False
10,8333630196,345.281,3,5689629187,32.237,377.518,False
10,8333630196,345.281,3,4600895522,95.972,441.253,False
10,8333630196,345.281,3,13585291172,61.849,407.130,True
11,5689629187,347.911,4,4600895523,75.761,423.672,False
11,5689629187,347.911,4,8333630196,32.237,380.148,False
11,5689629187,347.911,4,4600895532,33.649,381.560,False
11,5689629187,347.911,4,9612370367,25.435,373.346,True
12,7144483009,358.342,1,1884805093,81.915,440.257,True
13,9612370367,373.346,1,5689629187,25.435,398.781,False
14,4600895513,379.720,3,4600895521,98.032,477.752,False
14,4600895513,379.720,3,4600895532,157.491,537.211,False
14,4600895513,379.720,3,5698021490,143.585,523.305,True
15,4600895536,404.779,3,4600895521,123.091,527.870,False
15,4600895536,404.779,3,4600895549,285.016,689.794,True
15,4600895536,404.779,3,444195868,33.035,437.814,True
16,13585291174,405.145,3,13585290976,12.978,418.123,True
16,13585291174,405.145,3,4600895532,65.804,470.949,False
16,13585291174,405.145,3,13585291172,88.790,493.935,False
